statistic_yyy,according,district_code,site_id,sex,single_multiple_birth,birth_count
112,按登記日期分,65000070,新北市樹林區,男,5胞胎以上,0
112,按登記日期分,65000070,新北市樹林區,女,單胎,405
112,按登記日期分,65000070,新北市樹林區,女,雙胞胎,9
112,按登記日期分,65000070,新北市樹林區,女,3胞胎,2
112,按登記日期分,65000070,新北市樹林區,女,4胞胎,0
112,按登記日期分,65000070,新北市樹林區,女,5胞胎以上,0
112,按登記日期分,65000080,新北市鶯歌區,男,單胎,227
112,按登記日期分,65000080,新北市鶯歌區,男,雙胞胎,20
112,按登記日期分,65000080,新北市鶯歌區,男,3胞胎,0
112,按登記日期分,65000080,新北市鶯歌區,男,4胞胎,0
112,按登記日期分,65000080,新北市鶯歌區,男,5胞胎以上,0
112,按登記日期分,65000080,新北市鶯歌區,女,單胎,250
112,按登記日期分,65000080,新北市鶯歌區,女,雙胞胎,10
112,按登記日期分,65000080,新北市鶯歌區,女,3胞胎,0
112,按登記日期分,65000080,新北市鶯歌區,女,4胞胎,0
112,按登記日期分,65000080,新北市鶯歌區,女,5胞胎以上,0
112,按登記日期分,65000090,新北市三峽區,男,單胎,313
112,按登記日期分,65000090,新北市三峽區,男,雙胞胎,5
112,按登記日期分,65000090,新北市三峽區,男,3胞胎,0
112,按登記日期分,65000090,新北市三峽區,男,4胞胎,0
112,按登記日期分,65000090,新北市三峽區,男,5胞胎以上,0
112,按登記日期分,65000090,新北市三峽區,女,單胎,267
112,按登記日期分,65000090,新北市三峽區,女,雙胞胎,14
112,按登記日期分,65000090,新北市三峽區,女,3胞胎,0
112,按登記日期分,65000090,新北市三峽區,女,4胞胎,0
112,按登記日期分,65000090,新北市三峽區,女,5胞胎以上,0
112,按登記日期分,65000100,新北市淡水區,男,單胎,435
112,按登記日期分,65000100,新北市淡水區,男,雙胞胎,12
112,按登記日期分,65000100,新北市淡水區,男,3胞胎,0
112,按登記日期分,65000100,新北市淡水區,男,4胞胎,0
112,按登記日期分,65000100,新北市淡水區,男,5胞胎以上,0
112,按登記日期分,65000100,新北市淡水區,女,單胎,413
112,按登記日期分,65000100,新北市淡水區,女,雙胞胎,6
112,按登記日期分,65000100,新北市淡水區,女,3胞胎,0
112,按登記日期分,65000100,新北市淡水區,女,4胞胎,0
112,按登記日期分,65000100,新北市淡水區,女,5胞胎以上,0
112,按登記日期分,65000110,新北市汐止區,男,單胎,416
112,按登記日期分,65000110,新北市汐止區,男,雙胞胎,14
112,按登記日期分,65000110,新北市汐止區,男,3胞胎,0
112,按登記日期分,65000110,新北市汐止區,男,4胞胎,0
112,按登記日期分,65000110,新北市汐止區,男,5胞胎以上,0
112,按登記日期分,65000110,新北市汐止區,女,單胎,405
112,按登記日期分,65000110,新北市汐止區,女,雙胞胎,14
112,按登記日期分,65000110,新北市汐止區,女,3胞胎,0
112,按登記日期分,65000110,新北市汐止區,女,4胞胎,0
112,按登記日期分,65000110,新北市汐止區,女,5胞胎以上,0
112,按登記日期分,65000120,新北市瑞芳區,男,單胎,70
112,按登記日期分,65000120,新北市瑞芳區,男,雙胞胎,2
112,按登記日期分,65000120,新北市瑞芳區,男,3胞胎,0
112,按登記日期分,65000120,新北市瑞芳區,男,4胞胎,0
112,按登記日期分,65000120,新北市瑞芳區,男,5胞胎以上,0
112,按登記日期分,65000120,新北市瑞芳區,女,單胎,74
112,按登記日期分,65000120,新北市瑞芳區,女,雙胞胎,4
112,按登記日期分,65000120,新北市瑞芳區,女,3胞胎,0
112,按登記日期分,65000120,新北市瑞芳區,女,4胞胎,0
112,按登記日期分,65000120,新北市瑞芳區,女,5胞胎以上,0
112,按登記日期分,65000130,新北市土城區,男,單胎,570
112,按登記日期分,65000130,新北市土城區,男,雙胞胎,13
112,按登記日期分,65000130,新北市土城區,男,3胞胎,0
112,按登記日期分,65000130,新北市土城區,男,4胞胎,0
112,按登記日期分,65000130,新北市土城區,男,5胞胎以上,0
112,按登記日期分,65000130,新北市土城區,女,單胎,544
112,按登記日期分,65000130,新北市土城區,女,雙胞胎,15
112,按登記日期分,65000130,新北市土城區,女,3胞胎,0
112,按登記日期分,65000130,新北市土城區,女,4胞胎,0
112,按登記日期分,65000130,新北市土城區,女,5胞胎以上,0
112,按登記日期分,65000140,新北市蘆洲區,男,單胎,484
112,按登記日期分,65000140,新北市蘆洲區,男,雙胞胎,24
112,按登記日期分,65000140,新北市蘆洲區,男,3胞胎,0
112,按登記日期分,65000140,新北市蘆洲區,男,4胞胎,0
112,按登記日期分,65000140,新北市蘆洲區,男,5胞胎以上,0
112,按登記日期分,65000140,新北市蘆洲區,女,單胎,463
112,按登記日期分,65000140,新北市蘆洲區,女,雙胞胎,21
112,按登記日期分,65000140,新北市蘆洲區,女,3胞胎,0
112,按登記日期分,65000140,新北市蘆洲區,女,4胞胎,0
112,按登記日期分,65000140,新北市蘆洲區,女,5胞胎以上,0
112,按登記日期分,65000150,新北市五股區,男,單胎,284
112,按登記日期分,65000150,新北市五股區,男,雙胞胎,14
112,按登記日期分,65000150,新北市五股區,男,3胞胎,0
112,按登記日期分,65000150,新北市五股區,男,4胞胎,0
112,按登記日期分,65000150,新北市五股區,男,5胞胎以上,0
112,按登記日期分,65000150,新北市五股區,女,單胎,263
112,按登記日期分,65000150,新北市五股區,女,雙胞胎,6
112,按登記日期分,65000150,新北市五股區,女,3胞胎,0
112,按登記日期分,65000150,新北市五股區,女,4胞胎,0
112,按登記日期分,65000150,新北市五股區,女,5胞胎以上,0
112,按登記日期分,65000160,新北市泰山區,男,單胎,204
112,按登記日期分,65000160,新北市泰山區,男,雙胞胎,4
112,按登記日期分,65000160,新北市泰山區,男,3胞胎,0
112,按登記日期分,65000160,新北市泰山區,男,4胞胎,0
112,按登記日期分,65000160,新北市泰山區,男,5胞胎以上,0
112,按登記日期分,65000160,新北市泰山區,女,單胎,176
112,按登記日期分,65000160,新北市泰山區,女,雙胞胎,4
112,按登記日期分,65000160,新北市泰山區,女,3胞胎,0
112,按登記日期分,65000160,新北市泰山區,女,4胞胎,0
112,按登記日期分,65000160,新北市泰山區,女,5胞胎以上,0
112,按登記日期分,65000170,新北市林口區,男,單胎,373
112,按登記日期分,65000170,新北市林口區,男,雙胞胎,18
112,按登記日期分,65000170,新北市林口區,男,3胞胎,0
112,按登記日期分,65000170,新北市林口區,男,4胞胎,0
112,按登記日期分,65000170,新北市林口區,男,5胞胎以上,0
112,按登記日期分,65000170,新北市林口區,女,單胎,384
112,按登記日期分,65000170,新北市林口區,女,雙胞胎,15
112,按登記日期分,65000170,新北市林口區,女,3胞胎,0
112,按登記日期分,65000170,新北市林口區,女,4胞胎,0
112,按登記日期分,65000170,新北市林口區,女,5胞胎以上,0
112,按登記日期分,65000180,新北市深坑區,男,單胎,42
112,按登記日期分,65000180,新北市深坑區,男,雙胞胎,1
112,按登記日期分,65000180,新北市深坑區,男,3胞胎,1
112,按登記日期分,65000180,新北市深坑區,男,4胞胎,0
112,按登記日期分,65000180,新北市深坑區,男,5胞胎以上,0
112,按登記日期分,65000180,新北市深坑區,女,單胎,39
112,按登記日期分,65000180,新北市深坑區,女,雙胞胎,1
112,按登記日期分,65000180,新北市深坑區,女,3胞胎,2
112,按登記日期分,65000180,新北市深坑區,女,4胞胎,0
112,按登記日期分,65000180,新北市深坑區,女,5胞胎以上,0
112,按登記日期分,65000190,新北市石碇區,男,單胎,10
112,按登記日期分,65000190,新北市石碇區,男,雙胞胎,2
112,按登記日期分,65000190,新北市石碇區,男,3胞胎,0
112,按登記日期分,65000190,新北市石碇區,男,4胞胎,0
112,按登記日期分,65000190,新北市石碇區,男,5胞胎以上,0
112,按登記日期分,65000190,新北市石碇區,女,單胎,14
112,按登記日期分,65000190,新北市石碇區,女,雙胞胎,0
112,按登記日期分,65000190,新北市石碇區,女,3胞胎,0
112,按登記日期分,65000190,新北市石碇區,女,4胞胎,0
112,按登記日期分,65000190,新北市石碇區,女,5胞胎以上,0
112,按登記日期分,65000200,新北市坪林區,男,單胎,11
112,按登記日期分,65000200,新北市坪林區,男,雙胞胎,0
112,按登記日期分,65000200,新北市坪林區,男,3胞胎,0
112,按登記日期分,65000200,新北市坪林區,男,4胞胎,0
112,按登記日期分,65000200,新北市坪林區,男,5胞胎以上,0
112,按登記日期分,65000200,新北市坪林區,女,單胎,11
112,按登記日期分,65000200,新北市坪林區,女,雙胞胎,1
112,按登記日期分,65000200,新北市坪林區,女,3胞胎,0
112,按登記日期分,65000200,新北市坪林區,女,4胞胎,0
112,按登記日期分,65000200,新北市坪林區,女,5胞胎以上,0
112,按登記日期分,65000210,新北市三芝區,男,單胎,43
112,按登記日期分,65000210,新北市三芝區,男,雙胞胎,3
112,按登記日期分,65000210,新北市三芝區,男,3胞胎,0
112,按登記日期分,65000210,新北市三芝區,男,4胞胎,0
112,按登記日期分,65000210,新北市三芝區,男,5胞胎以上,0
112,按登記日期分,65000210,新北市三芝區,女,單胎,33
112,按登記日期分,65000210,新北市三芝區,女,雙胞胎,3
112,按登記日期分,65000210,新北市三芝區,女,3胞胎,0
112,按登記日期分,65000210,新北市三芝區,女,4胞胎,0
112,按登記日期分,65000210,新北市三芝區,女,5胞胎以上,0
112,按登記日期分,65000220,新北市石門區,男,單胎,30
112,按登記日期分,65000220,新北市石門區,男,雙胞胎,0
112,按登記日期分,65000220,新北市石門區,男,3胞胎,0
112,按登記日期分,65000220,新北市石門區,男,4胞胎,0
112,按登記日期分,65000220,新北市石門區,男,5胞胎以上,0
112,按登記日期分,65000220,新北市石門區,女,單胎,20
112,按登記日期分,65000220,新北市石門區,女,雙胞胎,0
112,按登記日期分,65000220,新北市石門區,女,3胞胎,0
112,按登記日期分,65000220,新北市石門區,女,4胞胎,0
112,按登記日期分,65000220,新北市石門區,女,5胞胎以上,0
112,按登記日期分,65000230,新北市八里區,男,單胎,115
112,按登記日期分,65000230,新北市八里區,男,雙胞胎,4
112,按登記日期分,65000230,新北市八里區,男,3胞胎,0
112,按登記日期分,65000230,新北市八里區,男,4胞胎,0
112,按登記日期分,65000230,新北市八里區,男,5胞胎以上,0
112,按登記日期分,65000230,新北市八里區,女,單胎,96
112,按登記日期分,65000230,新北市八里區,女,雙胞胎,6
112,按登記日期分,65000230,新北市八里區,女,3胞胎,0
112,按登記日期分,65000230,新北市八里區,女,4胞胎,0
112,按登記日期分,65000230,新北市八里區,女,5胞胎以上,0
112,按登記日期分,65000240,新北市平溪區,男,單胎,5
112,按登記日期分,65000240,新北市平溪區,男,雙胞胎,0
112,按登記日期分,65000240,新北市平溪區,男,3胞胎,0
112,按登記日期分,65000240,新北市平溪區,男,4胞胎,0
112,按登記日期分,65000240,新北市平溪區,男,5胞胎以上,0
112,按登記日期分,65000240,新北市平溪區,女,單胎,4
112,按登記日期分,65000240,新北市平溪區,女,雙胞胎,0
112,按登記日期分,65000240,新北市平溪區,女,3胞胎,0
112,按登記日期分,65000240,新北市平溪區,女,4胞胎,0
112,按登記日期分,65000240,新北市平溪區,女,5胞胎以上,0
112,按登記日期分,65000250,新北市雙溪區,男,單胎,15
112,按登記日期分,65000250,新北市雙溪區,男,雙胞胎,0
112,按登記日期分,65000250,新北市雙溪區,男,3胞胎,0
112,按登記日期分,65000250,新北市雙溪區,男,4胞胎,0
112,按登記日期分,65000250,新北市雙溪區,男,5胞胎以上,0
112,按登記日期分,65000250,新北市雙溪區,女,單胎,4
112,按登記日期分,65000250,新北市雙溪區,女,雙胞胎,0
112,按登記日期分,65000250,新北市雙溪區,女,3胞胎,0
112,按登記日期分,65000250,新北市雙溪區,女,4胞胎,0
112,按登記日期分,65000250,新北市雙溪區,女,5胞胎以上,0
112,按登記日期分,65000260,新北市貢寮區,男,單胎,24
112,按登記日期分,65000260,新北市貢寮區,男,雙胞胎,2
112,按登記日期分,65000260,新北市貢寮區,男,3胞胎,0
112,按登記日期分,65000260,新北市貢寮區,男,4胞胎,0
112,按登記日期分,65000260,新北市貢寮區,男,5胞胎以上,0
112,按登記日期分,65000260,新北市貢寮區,女,單胎,14
112,按登記日期分,65000260,新北市貢寮區,女,雙胞胎,2
112,按登記日期分,65000260,新北市貢寮區,女,3胞胎,0
112,按登記日期分,65000260,新北市貢寮區,女,4胞胎,0
112,按登記日期分,65000260,新北市貢寮區,女,5胞胎以上,0
112,按登記日期分,65000270,新北市金山區,男,單胎,43
112,按登記日期分,65000270,新北市金山區,男,雙胞胎,0
112,按登記日期分,65000270,新北市金山區,男,3胞胎,0
112,按登記日期分,65000270,新北市金山區,男,4胞胎,0
112,按登記日期分,65000270,新北市金山區,男,5胞胎以上,0
112,按登記日期分,65000270,新北市金山區,女,單胎,44
112,按登記日期分,65000270,新北市金山區,女,雙胞胎,2
112,按登記日期分,65000270,新北市金山區,女,3胞胎,0
112,按登記日期分,65000270,新北市金山區,女,4胞胎,0
112,按登記日期分,65000270,新北市金山區,女,5胞胎以上,0
112,按登記日期分,65000280,新北市萬里區,男,單胎,45
112,按登記日期分,65000280,新北市萬里區,男,雙胞胎,2
112,按登記日期分,65000280,新北市萬里區,男,3胞胎,3
112,按登記日期分,65000280,新北市萬里區,男,4胞胎,0
112,按登記日期分,65000280,新北市萬里區,男,5胞胎以上,0
112,按登記日期分,65000280,新北市萬里區,女,單胎,47
112,按登記日期分,65000280,新北市萬里區,女,雙胞胎,0
112,按登記日期分,65000280,新北市萬里區,女,3胞胎,0
112,按登記日期分,65000280,新北市萬里區,女,4胞胎,0
112,按登記日期分,65000280,新北市萬里區,女,5胞胎以上,0
112,按登記日期分,65000290,新北市烏來區,男,單胎,28
112,按登記日期分,65000290,新北市烏來區,男,雙胞胎,0
112,按登記日期分,65000290,新北市烏來區,男,3胞胎,0
112,按登記日期分,65000290,新北市烏來區,男,4胞胎,0
112,按登記日期分,65000290,新北市烏來區,男,5胞胎以上,0
112,按登記日期分,65000290,新北市烏來區,女,單胎,27
112,按登記日期分,65000290,新北市烏來區,女,雙胞胎,0
112,按登記日期分,65000290,新北市烏來區,女,3胞胎,0
112,按登記日期分,65000290,新北市烏來區,女,4胞胎,0
112,按登記日期分,65000290,新北市烏來區,女,5胞胎以上,0
112,按登記日期分,63000010,臺北市松山區,男,單胎,555
112,按登記日期分,63000010,臺北市松山區,男,雙胞胎,23
112,按登記日期分,63000010,臺北市松山區,男,3胞胎,0
112,按登記日期分,63000010,臺北市松山區,男,4胞胎,0
112,按登記日期分,63000010,臺北市松山區,男,5胞胎以上,0
112,按登記日期分,63000010,臺北市松山區,女,單胎,517
112,按登記日期分,63000010,臺北市松山區,女,雙胞胎,13
112,按登記日期分,63000010,臺北市松山區,女,3胞胎,0
112,按登記日期分,63000010,臺北市松山區,女,4胞胎,0
112,按登記日期分,63000010,臺北市松山區,女,5胞胎以上,0
112,按登記日期分,63000020,臺北市信義區,男,單胎,681
112,按登記日期分,63000020,臺北市信義區,男,雙胞胎,26
112,按登記日期分,63000020,臺北市信義區,男,3胞胎,0
112,按登記日期分,63000020,臺北市信義區,男,4胞胎,0
112,按登記日期分,63000020,臺北市信義區,男,5胞胎以上,0
112,按登記日期分,63000020,臺北市信義區,女,單胎,609
112,按登記日期分,63000020,臺北市信義區,女,雙胞胎,33
112,按登記日期分,63000020,臺北市信義區,女,3胞胎,0
112,按登記日期分,63000020,臺北市信義區,女,4胞胎,0
112,按登記日期分,63000020,臺北市信義區,女,5胞胎以上,0
112,按登記日期分,63000030,臺北市大安區,男,單胎,789
112,按登記日期分,63000030,臺北市大安區,男,雙胞胎,43
112,按登記日期分,63000030,臺北市大安區,男,3胞胎,0
112,按登記日期分,63000030,臺北市大安區,男,4胞胎,0
112,按登記日期分,63000030,臺北市大安區,男,5胞胎以上,0
112,按登記日期分,63000030,臺北市大安區,女,單胎,767
112,按登記日期分,63000030,臺北市大安區,女,雙胞胎,40
112,按登記日期分,63000030,臺北市大安區,女,3胞胎,0
112,按登記日期分,63000030,臺北市大安區,女,4胞胎,0
112,按登記日期分,63000030,臺北市大安區,女,5胞胎以上,0
112,按登記日期分,63000040,臺北市中山區,男,單胎,704
112,按登記日期分,63000040,臺北市中山區,男,雙胞胎,42
112,按登記日期分,63000040,臺北市中山區,男,3胞胎,0
112,按登記日期分,63000040,臺北市中山區,男,4胞胎,0
112,按登記日期分,63000040,臺北市中山區,男,5胞胎以上,0
112,按登記日期分,63000040,臺北市中山區,女,單胎,664
112,按登記日期分,63000040,臺北市中山區,女,雙胞胎,41
112,按登記日期分,63000040,臺北市中山區,女,3胞胎,0
112,按登記日期分,63000040,臺北市中山區,女,4胞胎,0
112,按登記日期分,63000040,臺北市中山區,女,5胞胎以上,0
112,按登記日期分,63000050,臺北市中正區,男,單胎,462
112,按登記日期分,63000050,臺北市中正區,男,雙胞胎,24
112,按登記日期分,63000050,臺北市中正區,男,3胞胎,0
112,按登記日期分,63000050,臺北市中正區,男,4胞胎,0
112,按登記日期分,63000050,臺北市中正區,男,5胞胎以上,0
112,按登記日期分,63000050,臺北市中正區,女,單胎,401
112,按登記日期分,63000050,臺北市中正區,女,雙胞胎,28
112,按登記日期分,63000050,臺北市中正區,女,3胞胎,0
112,按登記日期分,63000050,臺北市中正區,女,4胞胎,0
112,按登記日期分,63000050,臺北市中正區,女,5胞胎以上,0
112,按登記日期分,63000060,臺北市大同區,男,單胎,421
112,按登記日期分,63000060,臺北市大同區,男,雙胞胎,18
112,按登記日期分,63000060,臺北市大同區,男,3胞胎,0
112,按登記日期分,63000060,臺北市大同區,男,4胞胎,0
112,按登記日期分,63000060,臺北市大同區,男,5胞胎以上,0
112,按登記日期分,63000060,臺北市大同區,女,單胎,389
112,按登記日期分,63000060,臺北市大同區,女,雙胞胎,23
112,按登記日期分,63000060,臺北市大同區,女,3胞胎,0
112,按登記日期分,63000060,臺北市大同區,女,4胞胎,0
112,按登記日期分,63000060,臺北市大同區,女,5胞胎以上,0
112,按登記日期分,63000070,臺北市萬華區,男,單胎,548
112,按登記日期分,63000070,臺北市萬華區,男,雙胞胎,38
112,按登記日期分,63000070,臺北市萬華區,男,3胞胎,2
112,按登記日期分,63000070,臺北市萬華區,男,4胞胎,0
112,按登記日期分,63000070,臺北市萬華區,男,5胞胎以上,0
112,按登記日期分,63000070,臺北市萬華區,女,單胎,563
112,按登記日期分,63000070,臺北市萬華區,女,雙胞胎,22
112,按登記日期分,63000070,臺北市萬華區,女,3胞胎,1
112,按登記日期分,63000070,臺北市萬華區,女,4胞胎,0
112,按登記日期分,63000070,臺北市萬華區,女,5胞胎以上,0
112,按登記日期分,63000080,臺北市文山區,男,單胎,786
112,按登記日期分,63000080,臺北市文山區,男,雙胞胎,41
112,按登記日期分,63000080,臺北市文山區,男,3胞胎,0
112,按登記日期分,63000080,臺北市文山區,男,4胞胎,0
112,按登記日期分,63000080,臺北市文山區,男,5胞胎以上,0
112,按登記日期分,63000080,臺北市文山區,女,單胎,751
112,按登記日期分,63000080,臺北市文山區,女,雙胞胎,30
112,按登記日期分,63000080,臺北市文山區,女,3胞胎,0
112,按登記日期分,63000080,臺北市文山區,女,4胞胎,0
112,按登記日期分,63000080,臺北市文山區,女,5胞胎以上,0
112,按登記日期分,63000090,臺北市南港區,男,單胎,360
112,按登記日期分,63000090,臺北市南港區,男,雙胞胎,20
112,按登記日期分,63000090,臺北市南港區,男,3胞胎,0
112,按登記日期分,63000090,臺北市南港區,男,4胞胎,0
112,按登記日期分,63000090,臺北市南港區,男,5胞胎以上,0
112,按登記日期分,63000090,臺北市南港區,女,單胎,359
112,按登記日期分,63000090,臺北市南港區,女,雙胞胎,16
112,按登記日期分,63000090,臺北市南港區,女,3胞胎,0
112,按登記日期分,63000090,臺北市南港區,女,4胞胎,0
112,按登記日期分,63000090,臺北市南港區,女,5胞胎以上,0
112,按登記日期分,63000100,臺北市內湖區,男,單胎,957
112,按登記日期分,63000100,臺北市內湖區,男,雙胞胎,57
112,按登記日期分,63000100,臺北市內湖區,男,3胞胎,3
112,按登記日期分,63000100,臺北市內湖區,男,4胞胎,0
112,按登記日期分,63000100,臺北市內湖區,男,5胞胎以上,0
112,按登記日期分,63000100,臺北市內湖區,女,單胎,912
112,按登記日期分,63000100,臺北市內湖區,女,雙胞胎,51
112,按登記日期分,63000100,臺北市內湖區,女,3胞胎,3
112,按登記日期分,63000100,臺北市內湖區,女,4胞胎,0
112,按登記日期分,63000100,臺北市內湖區,女,5胞胎以上,0
112,按登記日期分,63000110,臺北市士林區,男,單胎,807
112,按登記日期分,63000110,臺北市士林區,男,雙胞胎,39
112,按登記日期分,63000110,臺北市士林區,男,3胞胎,0
112,按登記日期分,63000110,臺北市士林區,男,4胞胎,0
112,按登記日期分,63000110,臺北市士林區,男,5胞胎以上,0
112,按登記日期分,63000110,臺北市士林區,女,單胎,764
112,按登記日期分,63000110,臺北市士林區,女,雙胞胎,31
112,按登記日期分,63000110,臺北市士林區,女,3胞胎,3
112,按登記日期分,63000110,臺北市士林區,女,4胞胎,0
112,按登記日期分,63000110,臺北市士林區,女,5胞胎以上,0
112,按登記日期分,63000120,臺北市北投區,男,單胎,775
112,按登記日期分,63000120,臺北市北投區,男,雙胞胎,30
112,按登記日期分,63000120,臺北市北投區,男,3胞胎,0
112,按登記日期分,63000120,臺北市北投區,男,4胞胎,0
112,按登記日期分,63000120,臺北市北投區,男,5胞胎以上,0
112,按登記日期分,63000120,臺北市北投區,女,單胎,712
112,按登記日期分,63000120,臺北市北投區,女,雙胞胎,33
112,按登記日期分,63000120,臺北市北投區,女,3胞胎,0
112,按登記日期分,63000120,臺北市北投區,女,4胞胎,0
112,按登記日期分,63000120,臺北市北投區,女,5胞胎以上,0
112,按登記日期分,68000010,桃園市桃園區,男,單胎,1570
112,按登記日期分,68000010,桃園市桃園區,男,雙胞胎,68
112,按登記日期分,68000010,桃園市桃園區,男,3胞胎,6
112,按登記日期分,68000010,桃園市桃園區,男,4胞胎,0
112,按登記日期分,68000010,桃園市桃園區,男,5胞胎以上,0
112,按登記日期分,68000010,桃園市桃園區,女,單胎,1527
112,按登記日期分,68000010,桃園市桃園區,女,雙胞胎,67
112,按登記日期分,68000010,桃園市桃園區,女,3胞胎,3
112,按登記日期分,68000010,桃園市桃園區,女,4胞胎,0
112,按登記日期分,68000010,桃園市桃園區,女,5胞胎以上,0
112,按登記日期分,68000020,桃園市中壢區,男,單胎,1692
112,按登記日期分,68000020,桃園市中壢區,男,雙胞胎,74
112,按登記日期分,68000020,桃園市中壢區,男,3胞胎,3
112,按登記日期分,68000020,桃園市中壢區,男,4胞胎,0
112,按登記日期分,68000020,桃園市中壢區,男,5胞胎以上,0
112,按登記日期分,68000020,桃園市中壢區,女,單胎,1600
112,按登記日期分,68000020,桃園市中壢區,女,雙胞胎,69
112,按登記日期分,68000020,桃園市中壢區,女,3胞胎,0
112,按登記日期分,68000020,桃園市中壢區,女,4胞胎,0
112,按登記日期分,68000020,桃園市中壢區,女,5胞胎以上,0
112,按登記日期分,68000030,桃園市大溪區,男,單胎,337
112,按登記日期分,68000030,桃園市大溪區,男,雙胞胎,13
112,按登記日期分,68000030,桃園市大溪區,男,3胞胎,0
112,按登記日期分,68000030,桃園市大溪區,男,4胞胎,0
112,按登記日期分,68000030,桃園市大溪區,男,5胞胎以上,0
112,按登記日期分,68000030,桃園市大溪區,女,單胎,330
112,按登記日期分,68000030,桃園市大溪區,女,雙胞胎,5
112,按登記日期分,68000030,桃園市大溪區,女,3胞胎,0
112,按登記日期分,68000030,桃園市大溪區,女,4胞胎,0
112,按登記日期分,68000030,桃園市大溪區,女,5胞胎以上,0
112,按登記日期分,68000040,桃園市楊梅區,男,單胎,724
112,按登記日期分,68000040,桃園市楊梅區,男,雙胞胎,30
112,按登記日期分,68000040,桃園市楊梅區,男,3胞胎,0
